pofdbp_qwen7b_b0p1_ea0p2_pf1_s0_fresh_data, sft_kl, 0.1, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.2, 1
pofdbp_qwen7b_b0p2_ea0p4_pf1_s0_fresh_data, sft_kl, 0.2, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.4, 1
pofdbp_qwen7b_b0p2_ea0p2_pf0p75_s0_fresh_data, sft_kl, 0.2, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.2, 0.75
pofdbp_qwen7b_b0p2_ea0p4_pf0p75_s0_fresh_data, sft_kl, 0.2, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.4, 0.75
pofdbp_qwen7b_b0p2_ea0p2_pf0p5_s0_fresh_data, sft_kl, 0.2, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.2, 0.5
pofdbp_qwen7b_b0p2_ea0p4_pf0p5_s0_fresh_data, sft_kl, 0.2, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.4, 0.5
pofdbp_qwen7b_b0p2_ea0p2_pf0p25_s0_fresh_data, sft_kl, 0.2, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.2, 0.25
pofdbp_qwen7b_b0p2_ea0p4_pf0p25_s0_fresh_data, sft_kl, 0.2, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.4, 0.25
pofdbp_qwen7b_b0p2_ea0p2_pf0_s0_fresh_data, sft_kl, 0.2, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.2, 0
pofdbp_qwen7b_b0p2_ea0p4_pf0_s0_fresh_data, sft_kl, 0.2, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.4, 0
pofdbp_qwen7b_b0p5_ea0p2_pf1_s0_fresh_data, sft_kl, 0.5, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.2, 1
pofdbp_qwen7b_b0p5_ea0p4_pf1_s0_fresh_data, sft_kl, 0.5, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.4, 1
pofdbp_qwen7b_b0p5_ea0p2_pf0p75_s0_fresh_data, sft_kl, 0.5, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.2, 0.75
pofdbp_qwen7b_b0p5_ea0p4_pf0p75_s0_fresh_data, sft_kl, 0.5, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.4, 0.75
pofdbp_qwen7b_b0p5_ea0p2_pf0p5_s0_fresh_data, sft_kl, 0.5, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.2, 0.5
pofdbp_qwen7b_b0p5_ea0p4_pf0p5_s0_fresh_data, sft_kl, 0.5, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.4, 0.5
pofdbp_qwen7b_b0p5_ea0p2_pf0p25_s0_fresh_data, sft_kl, 0.5, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.2, 0.25
pofdbp_qwen7b_b0p5_ea0p4_pf0p25_s0_fresh_data, sft_kl, 0.5, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.4, 0.25
pofdbp_qwen7b_b0p5_ea0p2_pf0_s0_fresh_data, sft_kl, 0.5, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.2, 0
pofdbp_qwen7b_b0p5_ea0p4_pf0_s0_fresh_data, sft_kl, 0.5, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.4, 0
pofdbp_qwen7b_b1_ea0p2_pf1_s0_fresh_data, sft_kl, 1, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.2, 1
pofdbp_qwen7b_b1_ea0p4_pf1_s0_fresh_data, sft_kl, 1, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.4, 1
pofdbp_qwen7b_b1_ea0p2_pf0p75_s0_fresh_data, sft_kl, 1, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.2, 0.75
pofdbp_qwen7b_b1_ea0p4_pf0p75_s0_fresh_data, sft_kl, 1, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.4, 0.75
pofdbp_qwen7b_b1_ea0p2_pf0p5_s0_fresh_data, sft_kl, 1, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.2, 0.5
pofdbp_qwen7b_b1_ea0p4_pf0p5_s0_fresh_data, sft_kl, 1, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.4, 0.5
pofdbp_qwen7b_b1_ea0p2_pf0p25_s0_fresh_data, sft_kl, 1, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.2, 0.25
pofdbp_qwen7b_b1_ea0p4_pf0p25_s0_fresh_data, sft_kl, 1, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.4, 0.25
pofdbp_qwen7b_b1_ea0p2_pf0_s0_fresh_data, sft_kl, 1, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.2, 0
pofdbp_qwen7b_b1_ea0p4_pf0_s0_fresh_data, sft_kl, 1, 0, 1, accumulate, 1.0, fixed, ab, 0.0, 0.0, 1.0, loop, 0.0, 0.4, 0
