pofdiclf_qwen7b_k0_ea0p1_w0p5_l0p2_es0_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.1, 0, -1
pofdiclf_qwen7b_k0_ea0p1_w0p5_l0p2_es0p3_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.1, 0, -1
pofdiclf_qwen7b_k0_ea0p2_w0p5_l0p2_es0_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.2, 0, -1
pofdiclf_qwen7b_k0_ea0p2_w0p5_l0p2_es0_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.2, 0, -1
pofdiclf_qwen7b_k0_ea0p2_w0p5_l0p2_es0_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.2, 0, -1
pofdiclf_qwen7b_k0_ea0p2_w0p5_l0p2_es0p1_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.2, 0, -1
pofdiclf_qwen7b_k0_ea0p2_w0p5_l0p2_es0p1_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.2, 0, -1
pofdiclf_qwen7b_k0_ea0p2_w0p5_l0p2_es0p1_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.2, 0, -1
pofdiclf_qwen7b_k0_ea0p2_w0p5_l0p2_es0p2_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 0, -1
pofdiclf_qwen7b_k0_ea0p2_w0p5_l0p2_es0p2_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 0, -1
pofdiclf_qwen7b_k0_ea0p2_w0p5_l0p2_es0p2_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 0, -1
pofdiclf_qwen7b_k0_ea0p2_w0p5_l0p2_es0p3_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.2, 0, -1
pofdiclf_qwen7b_k0_ea0p2_w0p5_l0p2_es0p3_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.2, 0, -1
pofdiclf_qwen7b_k0_ea0p2_w0p5_l0p2_es0p3_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.2, 0, -1
pofdiclf_qwen7b_k0_ea0p4_w0p5_l0p2_es0_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.4, 0, -1
pofdiclf_qwen7b_k0_ea0p4_w0p5_l0p2_es0_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.4, 0, -1
pofdiclf_qwen7b_k0_ea0p4_w0p5_l0p2_es0_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.4, 0, -1
pofdiclf_qwen7b_k0_ea0p4_w0p5_l0p2_es0p1_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.4, 0, -1
pofdiclf_qwen7b_k0_ea0p4_w0p5_l0p2_es0p1_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.4, 0, -1
pofdiclf_qwen7b_k0_ea0p4_w0p5_l0p2_es0p1_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.4, 0, -1
pofdiclf_qwen7b_k0_ea0p4_w0p5_l0p2_es0p2_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.4, 0, -1
pofdiclf_qwen7b_k0_ea0p4_w0p5_l0p2_es0p2_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.4, 0, -1
pofdiclf_qwen7b_k0_ea0p4_w0p5_l0p2_es0p2_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.4, 0, -1
pofdiclf_qwen7b_k0_ea0p4_w0p5_l0p2_es0p3_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.4, 0, -1
pofdiclf_qwen7b_k0_ea0p4_w0p5_l0p2_es0p3_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.4, 0, -1
pofdiclf_qwen7b_k0_ea0p4_w0p5_l0p2_es0p3_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.4, 0, -1
pofdiclf_qwen7b_fz0_ea0p1_w0p5_l0p2_es0_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.1, 8, 0
pofdiclf_qwen7b_fz0_ea0p1_w0p5_l0p2_es0_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.1, 8, 0
pofdiclf_qwen7b_fz0_ea0p1_w0p5_l0p2_es0_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.1, 8, 0
pofdiclf_qwen7b_fz0_ea0p1_w0p5_l0p2_es0p1_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.1, 8, 0
pofdiclf_qwen7b_fz0_ea0p1_w0p5_l0p2_es0p1_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.1, 8, 0
pofdiclf_qwen7b_fz0_ea0p1_w0p5_l0p2_es0p1_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.1, 8, 0
pofdiclf_qwen7b_fz0_ea0p1_w0p5_l0p2_es0p2_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 8, 0
pofdiclf_qwen7b_fz0_ea0p1_w0p5_l0p2_es0p2_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 8, 0
pofdiclf_qwen7b_fz0_ea0p1_w0p5_l0p2_es0p2_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 8, 0
pofdiclf_qwen7b_fz0_ea0p1_w0p5_l0p2_es0p3_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.1, 8, 0
pofdiclf_qwen7b_fz0_ea0p1_w0p5_l0p2_es0p3_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.1, 8, 0
pofdiclf_qwen7b_fz0_ea0p1_w0p5_l0p2_es0p3_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.1, 8, 0
pofdiclf_qwen7b_fz0_ea0p2_w0p5_l0p2_es0_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.2, 8, 0
pofdiclf_qwen7b_fz0_ea0p2_w0p5_l0p2_es0_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.2, 8, 0
pofdiclf_qwen7b_fz0_ea0p2_w0p5_l0p2_es0_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.2, 8, 0
pofdiclf_qwen7b_fz0_ea0p2_w0p5_l0p2_es0p1_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.2, 8, 0
pofdiclf_qwen7b_fz0_ea0p2_w0p5_l0p2_es0p1_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.2, 8, 0
pofdiclf_qwen7b_fz0_ea0p2_w0p5_l0p2_es0p1_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.2, 8, 0
pofdiclf_qwen7b_fz0_ea0p2_w0p5_l0p2_es0p2_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 8, 0
pofdiclf_qwen7b_fz0_ea0p2_w0p5_l0p2_es0p2_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 8, 0
pofdiclf_qwen7b_fz0_ea0p2_w0p5_l0p2_es0p2_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 8, 0
pofdiclf_qwen7b_fz0_ea0p2_w0p5_l0p2_es0p3_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.2, 8, 0
pofdiclf_qwen7b_fz0_ea0p2_w0p5_l0p2_es0p3_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.2, 8, 0
pofdiclf_qwen7b_fz0_ea0p2_w0p5_l0p2_es0p3_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.2, 8, 0
pofdiclf_qwen7b_fz0_ea0p4_w0p5_l0p2_es0_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.4, 8, 0
pofdiclf_qwen7b_fz0_ea0p4_w0p5_l0p2_es0_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.4, 8, 0
pofdiclf_qwen7b_fz0_ea0p4_w0p5_l0p2_es0_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.4, 8, 0
pofdiclf_qwen7b_fz0_ea0p4_w0p5_l0p2_es0p1_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.4, 8, 0
pofdiclf_qwen7b_fz0_ea0p4_w0p5_l0p2_es0p1_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.4, 8, 0
pofdiclf_qwen7b_fz0_ea0p4_w0p5_l0p2_es0p1_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.4, 8, 0
pofdiclf_qwen7b_fz0_ea0p4_w0p5_l0p2_es0p2_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.4, 8, 0
pofdiclf_qwen7b_fz0_ea0p4_w0p5_l0p2_es0p2_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.4, 8, 0
pofdiclf_qwen7b_fz0_ea0p4_w0p5_l0p2_es0p2_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.4, 8, 0
pofdiclf_qwen7b_fz0_ea0p4_w0p5_l0p2_es0p3_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.4, 8, 0
pofdiclf_qwen7b_fz0_ea0p4_w0p5_l0p2_es0p3_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.4, 8, 0
pofdiclf_qwen7b_fz0_ea0p4_w0p5_l0p2_es0p3_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.4, 8, 0
pofdiclf_qwen7b_fz8_ea0p1_w0p5_l0p2_es0_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.1, 8, 8
pofdiclf_qwen7b_fz8_ea0p1_w0p5_l0p2_es0_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.1, 8, 8
pofdiclf_qwen7b_fz8_ea0p1_w0p5_l0p2_es0_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.1, 8, 8
pofdiclf_qwen7b_fz8_ea0p1_w0p5_l0p2_es0p1_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.1, 8, 8
pofdiclf_qwen7b_fz8_ea0p1_w0p5_l0p2_es0p1_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.1, 8, 8
pofdiclf_qwen7b_fz8_ea0p1_w0p5_l0p2_es0p1_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.1, 8, 8
pofdiclf_qwen7b_fz8_ea0p1_w0p5_l0p2_es0p2_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 8, 8
pofdiclf_qwen7b_fz8_ea0p1_w0p5_l0p2_es0p2_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 8, 8
pofdiclf_qwen7b_fz8_ea0p1_w0p5_l0p2_es0p2_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 8, 8
pofdiclf_qwen7b_fz8_ea0p1_w0p5_l0p2_es0p3_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.1, 8, 8
pofdiclf_qwen7b_fz8_ea0p1_w0p5_l0p2_es0p3_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.1, 8, 8
pofdiclf_qwen7b_fz8_ea0p1_w0p5_l0p2_es0p3_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.1, 8, 8
pofdiclf_qwen7b_fz8_ea0p2_w0p5_l0p2_es0_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.2, 8, 8
pofdiclf_qwen7b_fz8_ea0p2_w0p5_l0p2_es0_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.2, 8, 8
pofdiclf_qwen7b_fz8_ea0p2_w0p5_l0p2_es0_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.2, 8, 8
pofdiclf_qwen7b_fz8_ea0p2_w0p5_l0p2_es0p1_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.2, 8, 8
pofdiclf_qwen7b_fz8_ea0p2_w0p5_l0p2_es0p1_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.2, 8, 8
pofdiclf_qwen7b_fz8_ea0p2_w0p5_l0p2_es0p1_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.2, 8, 8
pofdiclf_qwen7b_fz8_ea0p2_w0p5_l0p2_es0p2_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 8, 8
pofdiclf_qwen7b_fz8_ea0p2_w0p5_l0p2_es0p2_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 8, 8
pofdiclf_qwen7b_fz8_ea0p2_w0p5_l0p2_es0p2_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 8, 8
pofdiclf_qwen7b_fz8_ea0p2_w0p5_l0p2_es0p3_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.2, 8, 8
pofdiclf_qwen7b_fz8_ea0p2_w0p5_l0p2_es0p3_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.2, 8, 8
pofdiclf_qwen7b_fz8_ea0p2_w0p5_l0p2_es0p3_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.2, 8, 8
pofdiclf_qwen7b_fz8_ea0p4_w0p5_l0p2_es0_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.4, 8, 8
pofdiclf_qwen7b_fz8_ea0p4_w0p5_l0p2_es0_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.4, 8, 8
pofdiclf_qwen7b_fz8_ea0p4_w0p5_l0p2_es0_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.4, 8, 8
pofdiclf_qwen7b_fz8_ea0p4_w0p5_l0p2_es0p1_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.4, 8, 8
pofdiclf_qwen7b_fz8_ea0p4_w0p5_l0p2_es0p1_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.4, 8, 8
pofdiclf_qwen7b_fz8_ea0p4_w0p5_l0p2_es0p1_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.4, 8, 8
pofdiclf_qwen7b_fz8_ea0p4_w0p5_l0p2_es0p2_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.4, 8, 8
pofdiclf_qwen7b_fz8_ea0p4_w0p5_l0p2_es0p2_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.4, 8, 8
pofdiclf_qwen7b_fz8_ea0p4_w0p5_l0p2_es0p2_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.4, 8, 8
pofdiclf_qwen7b_fz8_ea0p4_w0p5_l0p2_es0p3_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.4, 8, 8
pofdiclf_qwen7b_fz8_ea0p4_w0p5_l0p2_es0p3_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.4, 8, 8
pofdiclf_qwen7b_fz8_ea0p4_w0p5_l0p2_es0p3_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.4, 8, 8
pofdiclf_qwen7b_dyn_ea0p1_w0p5_l0p2_es0_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.1, 8, -1
pofdiclf_qwen7b_dyn_ea0p1_w0p5_l0p2_es0_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.1, 8, -1
pofdiclf_qwen7b_dyn_ea0p1_w0p5_l0p2_es0_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.1, 8, -1
pofdiclf_qwen7b_dyn_ea0p1_w0p5_l0p2_es0p1_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.1, 8, -1
pofdiclf_qwen7b_dyn_ea0p1_w0p5_l0p2_es0p1_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.1, 8, -1
pofdiclf_qwen7b_dyn_ea0p1_w0p5_l0p2_es0p1_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.1, 8, -1
pofdiclf_qwen7b_dyn_ea0p1_w0p5_l0p2_es0p2_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 8, -1
pofdiclf_qwen7b_dyn_ea0p1_w0p5_l0p2_es0p2_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 8, -1
pofdiclf_qwen7b_dyn_ea0p1_w0p5_l0p2_es0p2_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.1, 8, -1
pofdiclf_qwen7b_dyn_ea0p1_w0p5_l0p2_es0p3_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.1, 8, -1
pofdiclf_qwen7b_dyn_ea0p1_w0p5_l0p2_es0p3_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.1, 8, -1
pofdiclf_qwen7b_dyn_ea0p1_w0p5_l0p2_es0p3_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.1, 8, -1
pofdiclf_qwen7b_dyn_ea0p2_w0p5_l0p2_es0_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.2, 8, -1
pofdiclf_qwen7b_dyn_ea0p2_w0p5_l0p2_es0_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.2, 8, -1
pofdiclf_qwen7b_dyn_ea0p2_w0p5_l0p2_es0_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.2, 8, -1
pofdiclf_qwen7b_dyn_ea0p2_w0p5_l0p2_es0p1_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.2, 8, -1
pofdiclf_qwen7b_dyn_ea0p2_w0p5_l0p2_es0p1_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.2, 8, -1
pofdiclf_qwen7b_dyn_ea0p2_w0p5_l0p2_es0p1_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.2, 8, -1
pofdiclf_qwen7b_dyn_ea0p2_w0p5_l0p2_es0p2_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 8, -1
pofdiclf_qwen7b_dyn_ea0p2_w0p5_l0p2_es0p2_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 8, -1
pofdiclf_qwen7b_dyn_ea0p2_w0p5_l0p2_es0p2_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.2, 0.0, 0.5, loop, 0.0, 0.2, 8, -1
pofdiclf_qwen7b_dyn_ea0p2_w0p5_l0p2_es0p3_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.2, 8, -1
pofdiclf_qwen7b_dyn_ea0p2_w0p5_l0p2_es0p3_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.2, 8, -1
pofdiclf_qwen7b_dyn_ea0p2_w0p5_l0p2_es0p3_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0.3, 0.0, 0.5, loop, 0.0, 0.2, 8, -1
pofdiclf_qwen7b_dyn_ea0p4_w0p5_l0p2_es0_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.4, 8, -1
pofdiclf_qwen7b_dyn_ea0p4_w0p5_l0p2_es0_s42, frozen, 0, 42, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.4, 8, -1
pofdiclf_qwen7b_dyn_ea0p4_w0p5_l0p2_es0_s43, frozen, 0, 43, 1, replace, 1.0, fixed, ab, 0, 0.0, 0.5, loop, 0.0, 0.4, 8, -1
pofdiclf_qwen7b_dyn_ea0p4_w0p5_l0p2_es0p1_s0, frozen, 0, 0, 1, replace, 1.0, fixed, ab, 0.1, 0.0, 0.5, loop, 0.0, 0.4, 8, -1
